F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
2.234,0,-5160.44,-11.9124,-4.4595,0,5.876,-13.5735,-27.44,3.4996,-2788.27,-1.65758,7.408,-11744.88,23945.04,-0.4,103979.48,3.8588,927.82,-4363.558,,True
1.591,0,-4194.84,-11.5476,-5.0853,1,5.222,-12.645,-4.678,3.4177,-2657.2,-3.1254,6.0057,-11423.19,25520.64,-1.4,103809.32,3.1268,1491.15,-3495.48,-45.09,False
1.652,1,-4789.72,-12.0102,-7.26,0,4.6618,-20.161,-34.26,3.9425,-2668.2,-2.61,7.13,-11456.7,25492.74,-0.4,103879.86,4.238,1570.88,-4382.46,-43.53,True
0.8594,0,-4865.76,-12.3981,-6.7695,0,4.9022,-19.375,-13.616,3.9042,-2918.14,-3.1352,6.03,-11591.124,24728.94,-1.4,103621.46,2.5422,1504.81,-4305.82,,True
1.499,1,-4354.24,-11.1762,-4.9098,1,10.492,-13.863,-0.135354,3.5525,-2789.16,-3.542,5.8596,-11244.96,23539.74,-0.4,103884.86,3.4496,1576.26,-4478.84,-44.46,False
2.931,1,-4705.98,-11.0256,-6.6498,1,7.338,-13.6219,-5.986,3.955,-2598.6,-10.382,6.3049,-11572.59,23749.44,-0.4,103840.13,9.872,1518.2,-3844.08,,False
1.106,0,-5206.84,-14.631,-6.2424,0,5.956,-11.371,-58.12,4.821,-2849.28,-1.7596,5.9939,-12002.76,22606.14,-1.4,110796.66,5.082,1316.22,-4453.76,,False
0.132,1,-4813.88,-14.787,-4.3635,1,5.307,-21.612,-4.834,3.1003,-2788.81,-4.394,5.9128,-10629.96,23841.84,-1.4,103926.7,2.6012,1494.97,-1509.48,,True
0.2654,1,-5754.84,-11.067,-4.1847,1,4.1584,-5.421,-40.56,3.03898,-2336.7,-3.778,7.14,-12992.46,30452.64,-0.4,103856.79,2.3396,1435.51,2702.52,-40.59,True
1.153,0,-4988.84,-10.61793,-4.06959,0,8.068,-10.676,-33.86,4.005,-993.3,-2.207,5.84241,-12000.06,22875.36,-1.4,103828.14,5.648,1110.82,-3537.28,-42.36,False
1.63,1,-5454.64,-10.56855,-6.1347,1,4.9216,-10.338,-13.204,3.211,-80.3,-2.235,7.689,-11377.26,23509.44,-1.4,103870.03,2.791,1730.32,-5338.28,,True
0.4714,0,-4428.04,-10.8321,-6.5568,0,4.5702,-18.12,-10.494,3.4577,-3059.5,-1.70108,5.9437,-10905.36,25742.64,-0.4,103732.74,3.8502,1163.62,-3719.88,,True
3.158,1,-4800.4,-12.2835,-7.488,0,4.4438,-4.753,-22.84,3.6955,-2671.2,-2.7272,5.80039,-11526.63,27875.64,-0.4,103883.76,5.66,1625.19,-4745.28,,True
0.8218,1,-4841.88,-17.088,-4.3656,1,4.4416,-12.707,-2.266,3.3532,-2759.6,-6.93,6.3206,-11229.66,22162.44,-1.4,104134.86,8.634,1546.69,-4523.9,-45.36,True
0.9392,1,-6400.84,-12.714,-4.884,1,4.4414,-9.357,-0.29188,4.247,-2851.68,-4.082,6.3002,-11301.06,22284.24,-1.4,103799.82,2.2658,1569.28,-4561.28,-45.78,False
1.275,1,-5533.24,-15.201,-5.8188,1,8.836,-20.831,-18.63,3.6929,-2793.07,-2.8346,6.361,-11854.17,23069.91,-1.4,103794.76,3.7492,1522.175,-4614.88,-54.96,True
1.199,0,-4617.02,-12.1365,-7.296,0,5.5094,-22.693,-63.86,4.224,-2838.515,-1.8134,5.79095,-11375.16,24372.54,-0.4,103769.38,6.346,1254.72,-4040.28,-45.18,True
0.4171,1,-6402.24,-10.9773,-4.4691,0,7.162,-14.1833,-18.732,3.8422,-2153.2,-2.0756,6.3981,-12286.86,23809.44,-0.4,103906.88,2.3072,1216.02,-3804.88,,True
0.7056,1,-4213.64,-11.4483,-7.887,0,8.996,-15.447,-3.522,6.651,-2769.88,-5.268,5.9411,-11069.76,23072.91,-0.4,103875.72,2.852,1506.21,-4194.02,,False
0.2064,1,-3885.64,-11.1189,-7.68,0,9.21,-15.857,-19.998,4.18,-2962.5,-1.8754,5.7600319,-9276.96,23482.74,-0.4,103909.3,2.886,1295.02,-3991.28,,True
2.713,0,-4969.44,-11.1597,-10.662,0,3.98458,-10.428,-29.92,3.6098,-2974.6,-2.552,5.76972,-11709.75,15746.64,-1.4,103865.29,4.254,1348.42,-3631.28,,False
0.7804,0,-5034.44,-12.6267,-6.0813,0,6.74,-7.802,-0.9792,3.4321,-2625.2,-4.734,6.1648,-11870.73,23803.44,-0.4,103911.7,6.594,1556.33,-5296.88,-50.22,True
2.376,0,-4323.24,-14.991,-5.7657,1,5.1186,-18.161,-0.9496,3.3922,-2823.6,-2.0628,5.767103,-11511.18,25003.14,-1.4,103790.02,3.1642,1401.22,-3546.48,,False
0.7277,1,-6043.64,-11.2512,-5.3247,0,5.298,-9.05,-46.96,4.429,-2404.2,-2.9974,11.578,-11506.56,24103.44,-0.4,103820.68,2.6618,1595,-4581.48,,True
1.151,0,-4767.378,-13.275,-5.8065,0,4.1412,-13.2151,-10.276,3.3764,-2887.45,-3.159,7.771,-11636.493,30977.64,-0.4,103734.08,6.154,1507.24,-4362.896,,True
0.2225,0,-4723.88,-13.2063,-8.778,1,7.732,-9.688,-7.656,6.018,-2804.62,-2.9712,5.912,-9532.26,23595.24,-0.4,103933.92,4.38,1581.01,-4392.5,-49.32,True
0.5526,0,-5585.44,-11.4789,-12.507,1,5.0862,-14.6081,-16.006,5.441,-2841.727,-2.2218,5.7602045,-12499.26,22416.84,-0.4,103683.98,3.621,1408.32,-4374.5,-45.36,False
0.4766,1,-5034.04,-16.038,-6.1956,0,12.208,-17.945,-9.008,3.3217,-2855.99,-4.208,5.7604362,-11698.56,23164.569,-1.4,103883.24,4.188,1534.374,-4796.68,,False
0.8827,0,-5175.24,-11.2026,-4.8732,0,4.2182,-8.103,-23.46,6.494,-2856.71,-3.5028,5.9319,-11946.66,27215.64,-0.4,103869.35,3.244,1471.08,-4302.6,-46.38,False
0.512,0,-8357.44,-17.208,-4.02882,1,10.3,-20.307,-9.026,4.202,-2793.63,-4.522,5.8953,-11484.54,22893.6,-1.4,103393.26,2.2756,1531.3893,-4311.16,,True
0.7336,1,-4386.24,-20.46,-6.498,0,5.1786,-15.543,-11.452,3.787,-2837.4631,-6.27,5.77128,-10701.36,22991.28,-1.4,103812.8,4.34,1526.027,-3776.88,,False
0.8018,1,-4741.356,-11.9064,-4.236,1,5.934,-11.508,-14.868,3.03896,-2618.7,-4.234,5.9007,-11181.96,24192.54,-1.4,103301.66,2.8706,1551.45,-4533.98,,True
1.821,0,-4890.52,-11.0886,-6.7461,1,7.386,-19.048,-13.338,3.02001,-2008.4,-5.052,7.72,-11848.05,23579.94,-1.4,103901.2,9.638,1490.95,106.52,-51.75,True
0.3613,0,-4813.32,-11.3055,-5.1057,1,6.59,-14.8067,-1.8476,3.7588,-2931.63,-1.72356,6.5055,-12979.56,23933.34,-1.4,103765.36,7.996,423.92,-3872.08,,False
0.5776,1,-4435.44,-11.9538,-5.6898,1,4.1522,-14.9389,-25.6,4.01,-2875.06,-6.27,6.144,-11145.96,29138.64,-0.4,103844.73,3.6026,1516.98,-4030.48,,False
1.281,1,-4973.24,-11.5818,-11.049,0,4.8614,-18.9,-15.322,3.0943,-2500.9,-2.5168,5.77799,-11791.56,25426.44,-0.4,103858.83,3.6742,1361.92,-941.48,,True
0.1751,0,-4953.44,-10.67061,-7.386,1,6.936,-9.92,-10.454,3.952,-846.3,-2.9624,5.79325,-3857.76,22988.31,-1.4,103963.36,3.6314,1772.82,-5035.88,-40.56,True
0.4767,0,-4790.28,-10.9677,-4.0437,0,6.436,-19.35,-14.376,3.8124,-2851.86,-5.532,5.767319,-11040.06,23864.64,-1.4,104178.66,3.7128,1549.14,-4602.88,,True
0.6581,1,-5807.44,-13.1823,-5.2227,0,5.992,-9.776,-4.408,6.31,-2652.1,-1.71162,7.16,-12069.36,23883.84,-1.4,103996.32,2.864,897.12,-4276.28,-47.01,True
0.2272,0,-5968.64,-10.6971,-6.7959,0,6.094,-16.16,-8.45,3.0192,-3755,-2.8718,6.866,-12167.76,22637.94,-0.4,103784.16,2.6184,1521.53,-6571.48,-38.61,False
0.4107,0,-5163.64,-12.0585,-5.7198,1,7.522,-15.724,-21.28,3.4413,-2609.8,-1.9868,6.2404,-12200.46,22975.59,-0.4,103620.26,3.58,1106.02,-3072.08,-44.58,False
0.827,1,-5187.24,-10.7973,-6.0354,0,4.6276,-13.1679,-13.384,5.593,-1997,-2.4526,7.428,-12048.96,25595.34,-0.4,103826,4.684,1504.12,-4417.62,,True
0.15121,1,-11447.44,-10.8591,-6.7368,1,5.848,-10.196,-28.44,5.412,-2849.57,-2.013,6.2876,-19091.76,22424.34,-1.4,103860.91,2.3254,1341.82,-4437.04,-37.59,False
0.1957,0,-4766.048,-16.656,-5.9508,1,8.402,-15.425,-1.6046,3.01196,-2779.13,-5.116,6.0829,-9681.66,23101.98,-0.4,103811.82,6.458,1517.71,2050.52,,False
0.4835,1,-3979.84,-14.535,-5.0907,1,4.3508,-14.9208,-2.065,6.3,-2869.7,-1.69816,6.6017,-10454.16,26918.64,-0.4,103657.74,3.4964,1015.12,-4187.04,,False
0.5446,1,-4590.78,-11.4075,-8.763,0,4.8298,-10.582,-21.52,3.3077,-3011.5,-6.122,5.9186,-11056.56,25861.44,-1.4,103865.42,2.447,1555.57,-5481.48,,False
0.2654,0,-4189.84,-12.9576,-5.763,0,4.8192,-22.435,-0.4214,4.113,-2957.6,-1.6652,5.9182,-9420.06,24222.54,-1.4,103848.85,3.86,888.02,-3933.08,-49.08,True
0.3793,0,-6506.04,-13.389,-6.447,0,4.5804,-19.324,-1.051,4.223,-2690.3,-4.204,6.179,-11736.57,23868.54,-1.4,103931.28,2.511,1528.764,-4343.582,-40.44,False
0.4925,1,-5251.04,-10.9905,-4.8657,0,12.61,-18.876,-35.96,3.4525,-1884.2,-4.524,5.7600053,-12270.06,23356.14,-1.4,103797.44,4.414,1520.12,-4437.22,-51.57,True
0.2632,0,-4836.56,-11.5734,-5.7138,1,3.94276,-20.284,-34.86,3.0614,-2898.82,-2.5272,9.226,-14078.16,47423.64,-1.4,103896.9,7.018,1298.02,-477.48,,False
1.189,1,-5150.64,-12.4122,-7.248,1,7.514,-15.478,-6.946,3.2432,-2891.92,-2.849,6.1903,-12033.36,22959.03,-0.4,103856.17,5.09,1450.04,-4405.7,-45.81,False
0.2603,0,-4659.5,-10.55856,-8.865,0,5.7778,-10.607,-10.326,3.5533,150.7,-2.094,5.7704,-9990.36,24155.94,-0.4,103746.62,5.882,1392.32,-3419.88,,True
0.9527,1,-4248.64,-13.914,-10.392,0,6.096,-16.082,-22.32,3.723,-2652.2,-5.236,7.291,-11107.56,24313.14,-1.4,103864.05,2.6588,1534.884,-3939.48,-44.67,True
1.867,1,-4803.36,-17.85,-5.9754,1,5.0912,-10.038,-39.82,3.0635,-2779.18,-2.3982,5.8717,-11454.69,24846.54,-1.4,103878.7,6.728,1637.92,-5840.28,,True
1.382,1,-4972.64,-10.7343,-8.748,1,10.072,-22.943,-22.24,3.8341,-2868.31,-1.9084,5.77156,-11822.16,23133.66,-0.4,103905.28,4.626,1089.82,-3929.08,-38.91,False
0.5675,0,-2862.44,-11.3448,-4.7136,0,5.454,-9.507,-38.14,3.3185,-3008.9,-5.608,6.1751,-10682.16,24259.74,-1.4,103764.88,2.5848,1515.22,-3058.68,,True
0.5594,1,-4947.2,-11.8452,-6.7506,1,4.3712,-16.343,-4.488,4.264,-2917.69,-5.192,5.7601683,-11463.72,22421.64,-0.4,103840.17,3.7598,1528.325,-4353.1158,-44.97,False
0.3493,0,-5211.44,-23.487,-5.2209,1,6.64,-11.251,-11.834,3.146,-2840.714,-1.71766,7.454,-13074.36,22813.14,-0.4,103853.07,3.751,312.92,-1893.48,-41.91,False
0.787,0,-5341.04,-10.7469,-7.557,0,4.6086,-9.013,-14.246,3.01336,-1216.3,-2.2732,5.81939,-11064.66,23289.63,-1.4,103748.24,3.0512,1734.62,-8507.48,-38.73,False
0.4777,1,-4826.3,-10.8183,-7.965,1,5.463,-15.756,-24.74,3.1494,-2094.1,-2.749,6.3763,-11105.16,24221.04,-0.4,103880.82,2.15786,1513.84,-3301.28,,True
1.365,0,-5392.84,-12.1074,-6.8265,0,4.0908,-12.745,-17.148,3.355,-2533.8,-9.162,6.6394,-11477.64,24854.04,-1.4,103900.62,2.9438,1536.983,-4345.392,-47.16,False
1.475,1,-4677.7,-11.0466,-4.2915,0,11.498,-6.428,-5.19,3.9142,-2799.35,-3.0808,7.14,-11328.24,23216.34,-1.4,104034.6,4.462,1562.51,-4328.56,-42.06,False
0.1725,0,-12909.44,-19.647,-4.5117,1,6.934,-15.909,-24.7,3.1842,-2842.981,-2.6484,6.993,-14230.26,23086.74,-0.4,103625.66,2.17082,1495.74,-5005.28,,False
0.4825,0,-4800.34,-12.3321,-7.551,0,3.96572,-14.207,-13.352,3.1957,-3019.1,-1.66312,6.4038,-11861.91,38726.64,-1.4,103717.56,6.598,1325.72,-5037.28,,True
0.8979,0,-4682.94,-16.917,-5.5743,1,4.2838,-13.99355,-5.588,3.9038,-2870.49,-8.392,5.7600374,-11346.51,30389.64,-1.4,103821.52,3.6978,1545.9,-4772.08,-43.44,False
0.1509,0,-4734.618,-12.1815,-4.8363,1,6.792,-19.961,-25.66,7.538,-2697,-3.3634,6.4275,-7433.76,22841.04,-1.4,103819.18,6.996,1517.49,-4271.64,-46.47,True
0.5377,1,-3886.84,-13.1304,-6.3114,1,6.092,-22.442,-12.608,3.7083,-2829.217,-4.942,5.9977,-11023.86,22888.26,-0.4,103918.34,2.15378,1519.36,-3948.88,,True
0.9618,0,-4300.64,-13.2393,-8.706,1,6.954,-13.084,-22.16,6.073,-2814.22,-2.5348,6.0652,-11195.46,23025.54,-1.4,103818.16,3.154,1436.78,-4160.64,-44.07,False
0.3627,0,-5919.84,-14.592,-7.239,0,5.0716,-13.28,-3.508,4.651,-2729.2,-2.0246,5.76976,-12331.26,23010.6,-0.4,105598.86,2.8722,1325.32,-4196.68,-44.7,False
2.078,1,-4836.9,-14.538,-5.3412,1,6.178,-15.415,-13.798,3.562,-2818.34,-6.55,6.5634,-11786.52,23021.43,-0.4,103845.09,10.476,1496.77,-3701.48,,False
0.4316,1,-4472.44,-15.927,-5.4324,0,4.2084,-17.48,-3.244,3.7436,-2864.45,-9.66,7.699,-10370.16,28118.64,-1.4,103943.02,5.618,1524.137,-3782.68,-46.11,False
1.322,0,-5643.64,-14.742,-4.28649,0,4.5396,-9.966,-24.9,3.0151,-2680.1,-4.98,5.9554,-11791.23,25490.34,-1.4,103832.01,3.4756,1534.654,-6705.48,-41.64,True
0.209,0,-4760.842,-10.9674,-4.6734,0,5.89,-9,-0.4674,3.1754,-2284.5,-1.8204,6.1268,-9523.86,23031.3,-0.4,104141.86,2.8828,1411.72,-2781.08,,False
1.157,1,-9085.44,-11.9781,-4.5753,1,4.6014,-10.322,-3.454,3.2462,-2632.8,-2.742,5.9842,-11277.06,21383.04,-1.4,103803.14,2.18054,1637.92,-5164.28,,True
0.7005,0,-5001.44,-12.7371,-7.194,1,5.3398,-17.642,-1.067,7.27,-2872.32,-9.978,6.2123,-12047.76,22924.2,-1.4,103867.48,6.366,1529.589,-4404.2,,False
3.835,1,-4913.44,-13.0158,-8.91,1,12.744,-21.421,-31.02,3.7254,-2700.1,-1.8408,6.1625,-11547.9,23401.95,-1.4,103687.58,3.7756,1838.02,-4623.88,,True
0.7206,1,-4882.38,-12.8466,-7.509,1,6.242,-20.666,-20.74,6.277,-2808.53,-2.9632,5.7608526,-11879.7,23801.64,-1.4,103752.18,6.192,1486.59,-4338.954,-39.93,False
4.08,1,-12337.44,-12.6681,-7.668,0,6.702,-15.68,-11.064,3.3078,-2874.62,-3.5168,5.77959,-11767.8,23122.26,-0.4,103973.8,2.2544,1502.47,-5228.28,-40.86,False
0.7077,1,-1585.44,-15.387,-8.82,0,6.374,-16.853,-25.38,3.7944,-2911.02,-2.5196,6.1586,-10794.66,23255.43,-0.4,103756.04,2.265,1563.69,-4245.42,,False
0.4508,0,-5026.24,-15.579,-6.6003,0,4.1406,-4.354,-13.258,3.0857,-2857.85,-5.936,6.1663,-12032.16,22134.84,-0.4,103876.16,4.588,1519.93,-4470.28,,False
0.3944,1,-7271.44,-12.7206,-7.29,1,5.3074,-18.577,-30.74,4.077,-2675,-3.978,5.78334,-13147.86,24620.64,-0.4,103653.48,2.3996,1450.67,-3998.68,-42.69,True
2.405,0,-5183.64,-12.2841,-5.3958,0,5.97,-13.7297,-0.3284,4.185,-3011,-2.5582,5.77174,-11652.72,22622.64,-0.4,103835.19,3.6872,1536.179,-4536.06,-42.39,False
1.0493,1,-4695.44,-10.9629,-4.7379,0,8.392,-11.932,-17.928,4.197,-3129.7,-2.531,5.76181,-11276.16,23012.97,-0.4,103887.98,7.846,1494.47,-4126.68,,False
0.7137,1,-4624.46,-17.958,-9.789,0,4.271,-3.26,-4.706,3.6597,-2829.965,-2.1,6.899,-11229.36,21550.44,-1.4,103889.46,4.04,1339.02,-3565.68,-44.19,False
2.62,1,-4823.1,-11.7027,-4.8822,0,7.41,-18.14,-21.28,4.018,-2335.2,-6.152,5.9474,-11444.67,22892.25,-0.4,103853.78,3.052,1528.08,-3907.88,-42.87,False
0.8663,1,-5059.04,-12.2832,-4.5573,1,7.866,-22.108,-29.76,5.098,-2739.8,-1.8354,5.7603244,-11671.26,23531.04,-0.4,104026.62,3.8662,1509.44,-4384.42,-44.64,True
0.9487,0,-4662.76,-13.542,-6.9339,0,4.095,-0.29,-8.214,3.3131,-2806.13,-5.654,6.97,-11116.56,17468.64,-0.4,103845.05,4.264,1528.694,-3434.28,-40.38,False
0.4161,1,-3829.04,-12.4161,-4.5372,1,4.179,-5.287,-18.596,4.431,-2852.89,-2.152,5.78192,-10312.56,21714.24,-0.4,103403.26,2.653,1451.8,-4047.28,,False
0.5254,1,-5076.84,-15.954,-8.373,0,8.24,-14.465,-16.096,3.7556,-2851.77,-2.1324,5.77409,-11940.66,23418.54,-0.4,104010.98,2.417,1262.32,-3835.08,-50.88,True
0.3159,1,-4484.64,-10.8705,-8.337,0,4.2888,-16.822,-9.16,6.562,-3423.1,-5.498,6.923,-9204.66,26651.64,-0.4,103872.84,7.498,1511.21,-4181.7,-49.17,True
0.5717,1,-6897.44,-10.63422,-8.277,0,5.6334,-15.261,-15.322,3.1756,-3224.1,-5.832,5.8631,-12641.76,24603.24,-0.4,103837.14,2.2734,1480.19,-2705.28,,True
2.657,1,-6155.84,-12.2778,-7.443,0,6.542,-6.199,-32.96,3.0646,-2599.7,-2.2874,6.906,-11401.41,23007.15,-1.4,103870.28,2.406,1833.42,-8561.48,,True
1.192,0,-4819.58,-13.65,-5.2404,0,8.114,-18.892,-2.232,3.209,-2826.59,-5.876,5.81752,-11886.03,23557.74,-0.4,103908.66,5.42,1482.08,-2221.48,-41.37,True
0.7709,1,-8099.44,-19.779,-4.2939,0,4.8628,-17.777,-18.33,3.1408,-2837.9661,-1.9468,6.2045,-12111.66,23354.85,-0.4,103677.2,2.2434,1113.42,-2573.68,,False
1.416,1,-5481.24,-11.025,-4.16385,0,7.242,-18.174,-15.826,3.4945,-2397.4,-2.2238,5.7602544,-11791.92,23096.82,-0.4,103775.44,2.9252,1278.02,-3415.48,-43.26,False
0.2717,0,-5627.44,-10.827,-10.575,0,4.303,-13.0901,-6.776,3.6066,-1669.3,-2.2942,5.9817,-13371.06,22620.84,-0.4,103790.26,3.4176,1346.12,-3852.68,-40.89,False
0.15616,1,-5145.44,-11.4375,-8.58,1,6.596,-14.4094,-22.02,3.6494,-2173.6,-2.0484,6.0651,-6908.76,23736.84,-1.4,103951.68,2.996,1832.22,-4689.88,,True
0.2161,1,-4489.64,-11.9412,-4.4865,0,5.251,-12.218,-10.774,3.1884,-2436.9,-3.5146,5.9346,-8806.26,24705.84,-1.4,103858.85,4.212,1492.81,-1571.48,-44.1,True
0.2006,1,-5802.24,-11.4819,-7.203,0,5.6824,-18.818,-0.7952,4.76,-2458,-5.406,5.766632,-9594.66,24018.54,-1.4,105382.06,2.2484,1546.52,-4370.448,-48.06,True
0.11895,1,-4785.4,-15.069,-4.2951,1,4.2418,-15.869,-44.62,3.7438,-2750.75,-3.586,6.0754,-5894.76,22258.74,-1.4,103852.48,2.8754,1517.53,-3879.08,,True
0.12987,1,-4794.06,-13.539,-5.8746,1,4.0103,-7.175,-11.076,3.6845,-2893.55,-1.967,6.2299,-11082.96,28613.64,-0.4,103795.58,3.4788,1402.12,-4201.5,,False
0.3638,1,-8003.44,-13.746,-7.506,0,4.5818,-15.803,-2.708,4.902,-2814.36,-5.188,6.4282,-15002.76,20457.84,-0.4,103841.07,2.8406,1494.5,-4480.18,,False
0.665,0,-4769.22,-12.0498,-9.444,1,4.6374,-17.121,-7.516,4.071,-2472.6,-4.794,5.8716,-10936.26,21405.54,-1.4,103815.42,6.84,1521.13,-3894.08,-48.66,True
0.4751,1,-4175.64,-16.998,-9.024,1,4.309,-17.938,-8.148,3.8269,-2856.96,-6.36,5.9111,-10920.36,27215.64,-1.4,103819.38,2.4742,1538.888,-4427.58,,False
1.407,1,-4826.4,-13.815,-5.9811,0,4.6886,-12.112,-53.04,5.065,-2842.905,-3.2522,7.846,-11623.935,21947.04,-0.4,103895.22,4.996,1455.29,-4140.68,-42.48,False
0.6253,0,-3480.24,-13.101,-5.2206,0,7.472,-14.958,-3.544,3.1477,-2994.9,-2.9282,5.84119,-10582.56,23366.04,-1.4,105122.86,2.723,1565.88,-4133.68,,False
1.93,0,-5270.84,-11.6187,-8.463,1,7.576,-5.024,-36.4,3.04138,-2715.7,-2.2282,5.763731,-11962.56,22911.99,-1.4,103830.76,5.79,1444.62,-7355.48,,True
0.15898,1,-5217.24,-10.9635,-5.9064,1,5.129,-15.334,-10.63,4.773,-2184.3,-4.328,5.78429,-8814.96,24469.44,-1.4,103847.66,2.5194,1554.76,-4394.74,,True
1.928,1,-5345.84,-10.878,-10.053,0,4.2714,-9.98,-10.062,5.18,-2493.9,-3.558,7.727,-11576.04,25200.54,-0.4,103808.86,2.254,1495.9,-4220.62,,False
1.811,1,-4161.24,-10.61301,-4.767,1,5.0546,-13.5898,-61.38,3.1876,-4614.3,-2.7312,6.1514,-11401.71,23462.1,-0.4,103861.97,2.9044,1539.207,-4117.68,,False
0.3476,0,-6002.64,-17.136,-6.0078,0,4.0566,-16.209,-15.542,3.3367,-2881.52,-3.3444,5.77466,-13928.46,33326.64,-0.4,103930.16,2.8204,1445.85,-4467,-43.68,True
0.175,1,-5082.64,-12.0702,-7.104,0,5.4514,-20.291,-8.526,4.474,-2858.95,-1.949,7.177,-10118.76,22839.54,-1.4,103807.08,3.4022,1667.62,-4476.72,,False
1.0534,0,-4878.6,-11.1762,-6.2625,0,4.3196,-10.347,-13.034,4.302,-2117.6,-2.665,6.0329,-11555.67,26087.64,-1.4,103795.86,4.584,1465.94,-4077.48,-45.3,True
4.325,0,-4952.44,-11.6577,-4.8987,0,7.492,-7.305,-54.62,5.374,-2899.34,-1.9176,5.83136,-11674.2,23152.653,-1.4,103875.52,5.252,1250.32,-4289.72,,False
0.4729,0,-4852.24,-14.067,-6.5793,0,6.054,-2.81,-2.748,3.92,-2789.04,-3.8,5.81371,-12001.56,23520.84,-1.4,103864.24,3.8218,1442.98,-3690.88,,True
0.15525,0,-5071.84,-11.6181,-7.521,0,5.7074,-15.683,-2.818,3.4405,-2717.1,-5.01,5.8951,-11634.201,23719.44,-0.4,103850.03,2.94,1512.62,-3940.48,-44.1,False
0.12129,1,-5678.84,-13.3275,-5.1627,0,6.004,-7.362,-3.132,3.7116,-2638.3,-8.184,6.801,-23402.76,22909.59,-1.4,103610.26,4.156,1507.58,-4122.08,,True
0.43,1,-4710.06,-18.213,-4.6932,0,8.742,-5.261,-4.654,3.2797,-2763.9,-2.1592,6.1101,-10393.86,23667.24,-1.4,103788.02,9.36,1575.1,-3637.08,-47.04,True
0.1791,1,-4300.24,-13.839,-5.0907,0,5.0696,-13.1658,-9.74,3.8061,-2844.592,-3.4336,7.261,-9531.06,24723.24,-1.4,103862.62,3.1968,1489.47,-3896.08,-45.15,False
1.0447,1,-3780.44,-13.3704,-4.9455,0,8.482,-19.227,-5.968,3.3849,-2864.05,-6.566,5.77188,-11427.57,23538.84,-0.4,103703.16,2.377,1519.64,-3755.08,-50.34,True
3.388,0,-5423.24,-14.577,-5.6214,0,5.6098,-12.229,-6.074,4.306,-2698.4,-2.3982,5.8209,-11678.04,23270.49,-0.4,103771,4.1,1550.6,-4477.4,,False
0.5364,1,-7443.44,-13.2402,-5.6343,0,4.749,-4.488,-18.996,5.997,-2864.95,-1.8448,7.048,-12405.66,22534.44,-0.4,103834.7,2.5018,1379.12,-4413.42,-45.6,False
1.808,0,-4267.64,-14.787,-5.7228,1,4.9652,-8.85,-5.384,3.8113,-2815.07,-2.9844,5.82226,-11378.4,25301.04,-1.4,103845.3,4.188,1447.55,-3530.48,-48.27,True
0.4162,0,-7271.44,-18.807,-4.10148,1,5.5738,-13.6755,-20.12,3.161,-2742.01,-4.282,6.0067,-10185.36,25046.64,-0.4,103823.46,2.21544,1621.72,-7065.48,-43.02,True
0.6226,1,-5234.64,-11.175,-7.671,1,6.69,-11.746,-17.394,4.474,-2438.1,-3.3698,6.2296,-11098.26,22658.04,-1.4,104670.46,3.2818,1573.6,-4413.38,,True
1.59,1,-5690.04,-10.8552,-5.061,1,4.414,-11.167,-17.42,4.82,-2842.763,-3.688,5.764327,-12054.06,20564.64,-1.4,103904.66,4.166,1505.53,-4529.9,,False
2.115,1,-4916.1,-10.7406,-4.695,0,4.451,-17.572,-9.58,4.209,-1343.3,-2.3018,7.352,-11468.22,25030.14,-1.4,103888.62,4.364,1640.82,-4423.8,-40.8,True
2.077,1,-4876.96,-11.2806,-6.1017,0,5.996,-18.827,-8.5,3.1387,-3081.6,-4.23,6.0209,-11829.6,24260.34,-1.4,103815.86,4.796,1460.74,-2788.68,,False
0.13813,1,-3657.44,-12.4836,-9.528,0,3.96146,-12.567,-2.726,3.2974,-2871,-2.7904,10.251,-9728.76,42044.64,-0.4,103839.91,2.2632,1496.39,-3907.68,-44.28,True
0.5873,1,-6222.44,-14.175,-5.8218,0,6.15,-14.5513,-7.56,3.0613,-2718.9,-7.54,5.78714,-12013.86,22835.34,-0.4,103841.36,2.4688,1497.19,2068.52,,False
1.687,1,-4750,-11.7516,-4.05123,1,5.376,-14.6591,-10.568,3.168,-2967.7,-3.023,6.2343,-11537.1,22700.64,-0.4,103857.23,5.15,1482.68,-3102.28,,False
0.5532,1,-6203.24,-11.5542,-7.209,1,5.44,-12.101,-14.09,3.02254,-3122.3,-2.9344,6.0046,-12527.16,24725.64,-1.4,104061.66,2.3298,1414.52,-2461.68,-40.14,False
1.0221,0,-4178.44,-12.5832,-6.2859,0,6.626,-14.0925,-26.04,3.1435,-2623.4,-1.8128,6.2029,-11274.36,23821.44,-1.4,103824.5,2.7736,1205.62,-1247.48,,True
0.2585,1,-4953.64,-11.9424,-6.5268,0,3.94728,-17.11,-17.444,3.0525,-2679.6,-3.134,5.77054,-14452.26,10433.64,-1.4,103894.68,10.928,1482.9,-5470.08,,False
0.3445,1,-5063.64,-13.1199,-6.795,0,9.09,-15.307,-67.7,3.1589,-2801.26,-2.8416,5.80969,-12400.86,23266.11,-1.4,103764.8,3.904,1435.13,-3041.88,-47.76,False
